taz_id;X;Y
80383;4134603.994;7439313.851
80384;4174206.839;7454326.178
80385;4190026.166;7454045.639
80386;4161867.643;7437315.15
80387;4214318.908;7550555.12
80388;4235358.357;7574753.701
80389;4233159.722;7480182.308
80390;4249290.569;7492698.008
80391;4241239.928;7433379.663
80392;4268482.152;7459277.478
80393;4256922.508;7423203.77
80394;4289813.177;7479830.838
80395;4229546.65;7475758.079
80396;4275888.48;7484860.7
80397;4271230.808;7437862.257
80398;4266520.445;7471871.735
80399;4245529.431;7457215.574
80400;4278134.04;7420349.12
80401;4231682.949;7466466.973
80402;4041452.058;7461400.502
80403;4057970.997;7500195.083
80404;4042967.176;7531512.977
80405;4011786.44;7513597.09
80406;4032372.268;7491995.741
80407;4168822.623;7362812.59
80408;4159206.046;7343041.804
80409;4155483.124;7561424.872
80410;4144652.455;7544374.557
80411;4115139.015;7612226.699
80412;4099681.383;7590344.185
80413;4136322.103;7577442.751
80414;4109195.38;7572899.712
80415;4259566.59;7401644.091
80416;4267897.032;7376980.917
80417;4209762.014;7369606.821
80418;4185262.05;7681799.369
80419;4183507.694;7407567.519
80420;4184768.908;7380011.41
80421;4260826.157;7571195.162
80422;4247033.729;7557108.347
80423;3975472.726;7428113.35
80424;3946018.149;7437009.535
80425;3945085.905;7468588.733
80426;3946016.845;7532231.847
80427;3946135.479;7555168.816
80428;3949572.164;7582045.07
80429;3966957.523;7633150.219
80430;3996286.959;7612740.01
80431;4041440.341;7629090.56
80432;4108389.397;7654682.038
80433;4129785.984;7649255.529
80434;4149257.252;7665885.156
80435;4159121.33;7698505.635
80436;4205043.577;7719485.634
80437;4251158.582;7688981.266
80438;4267036.427;7631291.368
80439;4309151.661;7538377.788
80440;4335500.446;7535424.058
80441;4361950.089;7517431.587
80442;4459127.053;7425849.157
80443;4422811.077;7425300.92
80444;4425609.814;7382428.275
80445;4370043.201;7326720.343
80446;4343423.923;7299040.646
80447;4311786.598;7302416.763
80448;4313666.404;7248952.855
80449;4297523.257;7238586.794
80450;4297609.464;7275172.211
80451;4284886.119;7302253.671
80452;4268071.983;7308148.408
80453;4248928.123;7314934.155
80454;4237118.109;7322085.892
80455;4192455.11;7346119.408
80456;4183335.19;7324555.606
80457;4151485.421;7389712.514
80458;4125585.958;7404818.743
